run_name,model,variant,severity,modality,n_total,n_eval,accuracy,precision,recall,f1,baseline_accuracy,performance_pct_change,distorted_rate,consistency_with_clean,consistency_n_eval,consistency_with_own_clean,consistency_own_n_eval
adapter_behaviour_shift_1,internvl,baseline_gen,weak,mri,100,100,0.63,1.0,0.2745098039215686,0.4307692307692308,0.6,0.05,,0.94,100,,
adapter_behaviour_shift_1,internvl,baseline_gen,weak,oct,100,100,0.57,0.7333333333333333,0.22,0.3384615384615385,0.6,-0.05,,0.65,100,,
adapter_behaviour_shift_1,internvl,baseline_gen,weak,xray,100,100,0.76,0.825,0.66,0.7333333333333333,0.65,0.1692307692307692,,0.63,100,,
adapter_behaviour_shift_1,internvl,baseline_gen,weak,__overall__,300,300,0.6533333333333333,0.8405797101449275,0.3841059602649007,0.5272727272727272,0.6166666666666667,0.0594594594594593,,0.74,300,,
adapter_behaviour_shift_1,internvl,adapter_cls,weak,mri,100,100,0.85,0.8103448275862069,0.9215686274509804,0.8623853211009175,0.6,0.4166666666666667,,0.58,100,,
adapter_behaviour_shift_1,internvl,adapter_cls,weak,oct,100,100,0.68,0.95,0.38,0.5428571428571428,0.6,0.1333333333333334,,0.64,100,,
adapter_behaviour_shift_1,internvl,adapter_cls,weak,xray,100,100,0.76,0.8421052631578947,0.64,0.7272727272727273,0.65,0.1692307692307692,,0.55,100,,
adapter_behaviour_shift_1,internvl,adapter_cls,weak,__overall__,300,300,0.7633333333333333,0.8448275862068966,0.6490066225165563,0.7340823970037453,0.6166666666666667,0.2378378378378377,,0.59,300,,
adapter_behaviour_shift_1,lingshu,baseline_gen,weak,mri,100,100,0.87,0.9523809523809524,0.7843137254901961,0.8602150537634409,0.975,-0.1076923076923076,,0.88,100,,
adapter_behaviour_shift_1,lingshu,baseline_gen,weak,oct,100,100,0.67,0.9473684210526316,0.36,0.5217391304347826,0.7,-0.0428571428571427,,0.97,100,,
adapter_behaviour_shift_1,lingshu,baseline_gen,weak,xray,100,100,0.67,0.6164383561643836,0.9,0.7317073170731707,0.95,-0.2947368421052631,,0.7,100,,
adapter_behaviour_shift_1,lingshu,baseline_gen,weak,__overall__,300,300,0.7366666666666667,0.7686567164179104,0.6821192052980133,0.7228070175438597,0.875,-0.158095238095238,,0.85,300,,
adapter_behaviour_shift_1,lingshu,adapter_cls,weak,mri,100,100,0.91,0.92,0.9019607843137256,0.9108910891089108,0.975,-0.0666666666666666,,0.9,100,,
adapter_behaviour_shift_1,lingshu,adapter_cls,weak,oct,100,100,0.66,0.7222222222222222,0.52,0.6046511627906976,0.7,-0.057142857142857,,0.78,100,,
adapter_behaviour_shift_1,lingshu,adapter_cls,weak,xray,100,100,0.83,0.7796610169491526,0.92,0.8440366972477065,0.95,-0.1263157894736842,,0.82,100,,
adapter_behaviour_shift_1,lingshu,adapter_cls,weak,__overall__,300,300,0.8,0.8137931034482758,0.7814569536423841,0.7972972972972973,0.875,-0.0857142857142856,,0.8333333333333334,300,,
adapter_behaviour_shift_1,internvl,baseline_gen,weak,mri,100,100,0.69,1.0,0.38,0.5507246376811594,0.75,-0.08,,0.94,100,,
adapter_behaviour_shift_1,internvl,baseline_gen,weak,oct,100,100,0.57,0.7333333333333333,0.22,0.3384615384615385,0.6,-0.05,,0.65,100,,
adapter_behaviour_shift_1,internvl,baseline_gen,weak,xray,100,100,0.76,0.825,0.66,0.7333333333333333,0.65,0.1692307692307692,,0.63,100,,
adapter_behaviour_shift_1,internvl,baseline_gen,weak,__overall__,300,300,0.6733333333333333,0.8513513513513513,0.42,0.5625,0.6666666666666666,0.01,,0.74,300,,
adapter_behaviour_shift_1,internvl,adapter_cls,weak,mri,100,100,0.83,0.7796610169491526,0.92,0.8440366972477065,0.75,0.1066666666666666,,0.62,100,,
adapter_behaviour_shift_1,internvl,adapter_cls,weak,oct,100,100,0.68,0.95,0.38,0.5428571428571428,0.6,0.1333333333333334,,0.64,100,,
adapter_behaviour_shift_1,internvl,adapter_cls,weak,xray,100,100,0.76,0.8421052631578947,0.64,0.7272727272727273,0.65,0.1692307692307692,,0.55,100,,
adapter_behaviour_shift_1,internvl,adapter_cls,weak,__overall__,300,300,0.7566666666666667,0.8290598290598291,0.6466666666666666,0.7265917602996255,0.6666666666666666,0.1350000000000001,,0.6033333333333334,300,,
adapter_behaviour_shift_1,lingshu,baseline_gen,weak,mri,100,100,0.9,0.9545454545454546,0.84,0.8936170212765957,1.0,-0.0999999999999999,,0.9,100,,
